Product_Code,Product_Name,Location_ID,Wide,High,Deep,X_SIZE,Y_SIZE,Z_SIZE,Height,Width,Depth,Full_height,Full_width,Full_depth,Location
2420003816,Purex Crystals Fabulously Fresh,19,1,1,10,167.45 in,7.00 in,0.80 in,9.13 in,3.41 in,27.20 in,9.13 in,3.41 in,2.72 in,8
3320000417,Arm & Hammer In Wash Fresh Burst,20,1,1,10,170.86 in,7.00 in,1.60 in,10.43 in,3.84 in,26.40 in,10.43 in,3.84 in,2.64 in,8
3320000416,A&H IN WASH FRESHNESS ODOR BLASTER 18OZ,21,1,1,12,174.57 in,7.00 in,1.12 in,9.14 in,3.25 in,26.88 in,9.14 in,3.25 in,2.24 in,8
3320097235,Arm & Hammer Scent Booster Purifying Water,22,2,1,10,177.95 in,7.00 in,2.00 in,10.16 in,7.68 in,26.00 in,10.16 in,3.84 in,2.60 in,8
3320000144,A&H INWASH BOOSTER PURIFYING WATERS 18OZ,23,1,1,12,185.50 in,7.00 in,1.12 in,9.14 in,3.25 in,26.88 in,9.14 in,3.25 in,2.24 in,8
3320000145,A&H INWASH BOOSTER TROP PARADISE 18OZ,24,1,1,12,188.75 in,7.00 in,1.12 in,9.14 in,3.25 in,26.88 in,9.14 in,3.25 in,2.24 in,8
7261346309,SNUGGLE PLUS SUPERFRESH 9  70CT  46309,157,2,1,12,192.00 in,69.50 in,1.00 in,7.40 in,10.02 in,24.00 in,7.40 in,5.01 in,2.00 in,7
7261345120,SNUGGLE SHEETS EXHIL LAVENDER&SANDALWOOD,158,2,1,10,202.02 in,69.50 in,2.20 in,7.40 in,10.02 in,22.80 in,7.40 in,5.01 in,2.28 in,7
7261345502,SNUGGLE_SHEETS_BASE_BLUE IRIS & OCEAN BREEZE_70 LOAD 70 COUNT,159,2,1,10,211.55 in,69.50 in,2.20 in,7.40 in,8.08 in,22.80 in,7.40 in,4.04 in,2.28 in,7
7261345119,SNUGGLE BLUE SPARKLE SHEETS 230 CT  4511,160,2,1,5,220.11 in,69.50 in,3.10 in,7.29 in,10.52 in,21.90 in,7.29 in,5.26 in,4.38 in,7
7261345115,SNUGGLE_SHEETS_BASE_BLUE SPARKLE_120 LOAD 120 COUNT,161,2,1,13,230.63 in,69.50 in,0.69 in,7.12 in,10.34 in,24.31 in,7.12 in,5.17 in,1.87 in,7
3700057070,Bounce Sheets Pet Hair & Lint Guard Fresh Scent,143,2,2,7,192.00 in,58.00 in,0.78 in,8.50 in,14.66 in,24.22 in,4.25 in,7.33 in,3.46 in,6
3700057574,Bounce Sheets Pet Hair & Lint Guard Unscented,144,1,2,7,206.66 in,58.00 in,0.78 in,8.50 in,7.33 in,24.22 in,4.25 in,7.33 in,3.46 in,6
3700090715,Bounce wrinkle guard 60 count unscented,145,1,2,12,213.99 in,58.00 in,1.00 in,8.58 in,7.27 in,24.00 in,4.29 in,7.27 in,2.00 in,6
3700090712,BOUNCE WRINKLE GUARD SHEET OUTDOOR FRESH 60 CT,146,2,2,12,221.26 in,58.00 in,1.00 in,8.58 in,14.54 in,24.00 in,4.29 in,7.27 in,2.00 in,6
3700038469,Bounce Wrinkle Spray,147,2,1,7,235.80 in,58.00 in,0.50 in,9.30 in,4.40 in,24.50 in,9.30 in,2.20 in,3.50 in,6
3700092510,GAIN ORG 240,111,2,2,5,192.00 in,47.00 in,0.60 in,8.58 in,16.36 in,24.40 in,4.29 in,8.18 in,4.88 in,5
3700024684,BOUNCE SHT FREE&GENTLE 6/240USE,112,1,2,5,208.36 in,47.00 in,0.60 in,8.58 in,8.18 in,24.40 in,4.29 in,8.18 in,4.88 in,5
3700080252,BOUNCE SHT FREE&GENTLE 6/120 CT,113,1,2,10,216.55 in,47.00 in,0.80 in,8.58 in,8.18 in,24.20 in,4.29 in,8.18 in,2.42 in,5
3700007312,BOUNCE SHT ODF 6/240 CT,114,1,2,5,224.73 in,47.00 in,0.50 in,8.58 in,8.18 in,24.50 in,4.29 in,8.18 in,4.90 in,5
3700080168,BOUNCE SHT ODF 6/160 CT,115,1,2,7,232.91 in,47.00 in,0.78 in,8.58 in,8.18 in,24.22 in,4.29 in,8.18 in,3.46 in,5
3700097835,Gain Sheets Original Scent,84,2,2,8,192.00 in,37.00 in,2.68 in,8.58 in,16.37 in,22.32 in,4.29 in,8.19 in,2.79 in,4
3700099987,Bounce Fresh Linen 240 ct,85,1,2,5,208.37 in,37.00 in,0.60 in,8.58 in,8.19 in,24.40 in,4.29 in,8.19 in,4.88 in,4
3700005275,BOUNCE SHT FL 6/160 CT,86,1,2,7,216.56 in,37.00 in,0.71 in,8.58 in,8.17 in,24.29 in,4.29 in,8.17 in,3.47 in,4
3700080071,BOUNCE SHT ODF  6/120USE,87,2,2,10,224.72 in,37.00 in,0.80 in,8.58 in,16.37 in,24.20 in,4.29 in,8.19 in,2.42 in,4
3700098360,GAIN SHT MB 6/120 CT,67,2,2,10,192.00 in,27.00 in,0.80 in,8.58 in,16.38 in,24.20 in,4.29 in,8.19 in,2.42 in,3
3700080253,BOUNCE SHT FL 6/120USE,68,1,2,10,208.38 in,27.00 in,0.80 in,8.58 in,8.19 in,24.20 in,4.29 in,8.19 in,2.42 in,3
3700080069,BOUNCE SHT FL 9/80 CT,69,1,2,12,216.57 in,27.00 in,1.00 in,8.58 in,8.17 in,24.00 in,4.29 in,8.17 in,2.00 in,3
3700074372,BOUNCE SHT MEN PURE SPRT 200 ct,70,1,2,6,224.74 in,27.00 in,2.32 in,8.58 in,8.19 in,22.68 in,4.29 in,8.19 in,3.78 in,3
3700089332,BOUNCE SHT MEN PURE SPRT  9/105CT,71,1,2,10,232.93 in,27.00 in,1.80 in,8.58 in,8.17 in,23.20 in,4.29 in,8.17 in,2.32 in,3
3700086301,GAIN SHT BLISSFUL BREEZE  120 CT,55,2,2,10,192.00 in,17.00 in,0.80 in,8.58 in,16.36 in,24.20 in,4.29 in,8.18 in,2.42 in,2
3700082386,DOWNY SHT AF 9/105CT,56,2,2,10,208.36 in,17.00 in,1.00 in,8.58 in,16.36 in,24.00 in,4.29 in,8.18 in,2.40 in,2
3700088998,Downy Cool Cotton Sheet 105 ct,57,2,2,6,224.73 in,17.00 in,2.38 in,8.58 in,16.36 in,22.62 in,4.29 in,8.18 in,3.77 in,2
3320014070,Arm & Hammer Clean Scentsations Purifying Waters,25,2,1,12,192.00 in,7.00 in,0.40 in,7.09 in,9.72 in,27.60 in,7.09 in,4.86 in,2.30 in,8
3500046416,SUAVITEL SHEETS Complete Yellow,26,1,1,11,201.72 in,7.00 in,1.60 in,7.09 in,4.86 in,26.40 in,7.09 in,4.86 in,2.40 in,8
3500039167,SUAVITEL SHEETS FIELD FLOWERS 80 CT,27,1,1,11,206.57 in,7.00 in,1.60 in,7.09 in,4.85 in,26.40 in,7.09 in,4.85 in,2.40 in,8
3500046415,SUAVITEL SHEETS Complete Field Flowers Blue,28,1,1,11,211.42 in,7.00 in,1.60 in,7.09 in,4.86 in,26.40 in,7.09 in,4.86 in,2.40 in,8
PLSheets80,PL SHEET 80,29,5,1,18,216.28 in,7.00 in,0.10 in,7.09 in,24.29 in,27.90 in,7.09 in,4.86 in,1.55 in,8
