IX_Position,Row,UPC,Name,Wide,High,Deep,X,Y,Z,Full height,Full width,Full depth
66,66,GainRinseOrig,Gain FE Rinse Original,2,1,8,79.255,49.5,2.28,11.02,4.8,2.84
67,67,3700068206,GAIN LQ FABRIC SOFTENER ORIG FRSH 174LD,1,1,5,88.8925,49.5,2.2,11.96,9.7,4.56
68,68,3700010750,GAIN LQ FABRIC SOFTENER ORIGINAL FRESH 1,1,1,5,98.63,49.5,2.2,11.55,9.09,4.56
69,69,3700098499,Gain FE Original Scent 48 LD,1,1,7,107.7575,49.5,2.95,11.18,5.32,3.15
70,70,GainPink129,Gain FE Barbie,1,1,5,113.115,49.5,2.2,11.97,9.09,4.56
71,71,GainPink,Gain FE Pink 48 LD,1,1,7,122.2425,49.5,2.95,10.75,5.32,3.15
72,72,0007261346406,SNGGL SUPER FRESH SFTNR,2,1,5,127.6,49.5,3.7,11,8.2,4.26
73,73,Bounce Mega,Bounce Sheet Mega Outdoor Fresh,1,2,8,192,48,1,4.29,7.09,3
74,74,3700080071,BOUNCE SHT ODF  6/120USE,1,2,10,200.19,48,0.8,4.29,7.09,2.42
75,75,3700080069,BOUNCE SHT FL 9/80 CT,1,2,12,208.38,48,1,4.29,7.07,2
76,76,3700080253,BOUNCE SHT FL 6/120USE,1,2,10,216.55,48,0.8,4.29,7.09,2.42
77,77,3700074372,BOUNCE SHT MEN PURE SPRT 200 ct,1,2,6,224.74,48,2.32,4.29,7.09,3.78
78,78,3700089332,BOUNCE SHT MEN PURE SPRT  9/105CT,1,2,10,232.93,48,1.8,4.29,7.07,2.32
79,79,3700076337,DWY UNSTPBLS FRSH 14.8,2,1,6,144,44,3.04,10.12,3.66,3.66
80,80,3700075447,Downy Unstop Tide Fresh Scent 14.8 oz,1,1,6,151.381,44,3.22,10.12,3.63,3.63
81,81,3700076339,DWY UNSTPBLS SHMR 14.8 oz,1,1,6,155.072,44,3.22,10.12,3.63,3.63
82,82,3700076338,DOWNY UNSTPBLS LUSH 14.8,1,1,6,158.763,44,3.22,10.12,3.63,3.63
83,83,3700076336,DWY INF LAV SERENITY 14.8 oz,1,1,6,162.454,44,3.04,10.12,3.66,3.66
84,84,3700076335,DWY INF Botanical Mist 14.8 oz,1,1,6,166.175,44,3.04,10.12,3.66,3.66
85,85,3700076334,DWY INF Amber Blossom 14.8 oz,1,1,6,169.896,44,3.22,10.12,3.63,3.63
86,86,3700076359,DOWNY FRSHPRCT APRIL FRESH  20.1,1,1,6,173.587,44,3.04,10.91,3.66,3.66
87,87,3700076332,DOWNY FRSHPRCT APRIL FRESH  14.8 oz,1,1,6,177.308,44,3.04,10.12,3.66,3.66
88,88,3700089040,Downy Cool Cotton Bead 20.1 oz,1,1,6,181.029,44,3.04,10.91,3.66,3.66
89,89,3700087921,Downy Cool Cotton 14.8 oz,1,1,6,184.75,44,3.22,9.75,3.63,3.63
90,90,3700076341,DREFT BLISSFULS REGULAR 14.8 OZ,1,1,6,188.38,44,3.28,9.75,3.62,3.62
91,91,3700080168,BOUNCE SHT ODF 6/160 CT,1,2,7,192,38,0.78,4.29,7.09,3.46
92,92,3700007312,BOUNCE SHT ODF 6/240 CT,1,2,5,200.19,38,0.5,4.29,7.09,4.9
93,93,3700005275,BOUNCE SHT FL 6/160 CT,1,2,7,208.38,38,0.71,4.29,7.07,3.47
94,94,3700099987,Bounce Fresh Linen 240 ct,1,2,5,216.55,38,0.6,4.29,7.09,4.88
95,95,3700004490,Bounce Sheets Spring & Renewal,1,2,13,224.74,38,1.47,4.29,7.09,1.81
96,96,3700004492,BOUNCE SHT FF S&R 9/105 CT,1,2,10,232.93,38,1.8,4.29,7.07,2.32
97,97,3700065163,Downy LQ Intense Spring Rush,1,1,6,0,35.5,0.52,11.39,6.61,4.08
98,98,3700067212,Downy AF 174 Ld,1,1,4,6.671429,35.5,1,11.96,9.09,6
99,99,3700010776,DOWNY LQ AF 4/129Z 150LD,2,1,5,15.822857,35.5,2.2,11.55,9.09,4.56
100,100,3700029511,DOWNY LQ AF 4/90Z 105LD,2,1,5,34.064286,35.5,0,10.88,7,5
101,101,3700058532,Downy Defy Damage Floral,1,2,5,48.125714,35.5,2.05,5.67,7.18,4.59
102,102,3700058524,Downy Defy Damage Fresh,1,2,5,55.367143,35.5,2.05,5.67,7.18,4.59
103,103,3700058525,Downy Defy Damage Unscented,1,2,5,62.608571,35.5,2.05,5.67,7.18,4.59
104,104,Downy Gapper CT,Downy FE Rinse Citrus,2,1,8,69.85,35.5,2.28,11.02,4.8,2.84
105,105,GainRinseMB,Gain FE Rinse Moonlight Breeze,2,1,8,79.511429,35.5,2.28,11.02,4.8,2.84
106,106,3700068226,GAIN LQ FABRIC SOFTENER MB 174LD,1,1,5,89.172857,35.5,2.2,11.96,9.7,4.56
107,107,3700098450,GAIN LFE MB 4/129Z 150LD,1,1,5,98.934286,35.5,2.2,11.55,9.09,4.56
108,108,3700099931,Gain FE Moonlight Breeze 48 LD,1,1,7,108.085714,35.5,2.95,11.18,5.32,3.15
109,109,3700086326,GAIN LFE BB 4/129Z 150LD,1,1,5,113.467143,35.5,2.2,11.55,9.09,4.56
110,110,3700086305,Gain FE Blissful Breeze 48 LD,1,1,7,122.557143,35.5,2.95,11.18,5.32,3.15
111,111,7261345405,SNUGGLE LIQ EXHIL WHT LAV & SNDWD PRPL 9,1,1,5,127.938571,35.5,3,10.32,8,4.4
112,112,7261345522,SNUGGLE LQ EXHIL BL IRIS & BAMB SLK BL 9,1,1,5,136,35.5,3,10.32,8,4.4
113,113,3700078989,UNSTOPABLES FRESH 8.6 OZ,2,1,8,144,33,0.76,9.37,3.03,3.03
114,114,3700079000,UNSTOPABLES TIDE 8.6 OZ,2,1,8,150.37875,33,0.76,9.37,3.03,3.03
115,115,3700095309,OLD SPICE BEAD 8.6 oz,2,1,8,156.7575,33,0.76,9.37,3.03,3.03
116,116,3700079088,UNSTOPABLES SHIMMER 8.6OZ,1,1,8,163.13625,33,0.76,9.37,3.03,3.03
117,117,3700079059,UNSTOPABLES LUSH 8.6 OZ,2,1,8,166.485,33,0.76,9.37,3.03,3.03
118,118,3700081933,Downy Odor Protect Beads Pink 8.6,1,1,8,172.86375,33,0.76,9.37,3.03,3.03
119,119,3700078997,DOWNY FRSHPRCT APRIL FRESH 8.6oz,2,1,8,176.2125,33,0.76,9.37,3.03,3.03
120,120,3700089039,Cool Cotton 8.6 oz,2,1,8,182.59125,33,0.76,9.37,3.03,3.03
121,121,3700078980,DREFT FE BLISSFULS 8.6oz,1,1,8,188.97,33,0.76,9.37,3.03,3.03
122,122,GainMega50,Gain Mega Sheet Fresh,1,2,8,192,28,1,4.29,7.09,3
123,123,GainPink120,Gain Sheets Barbie,1,2,10,200.182,28,1,4.29,7.09,2.4
124,124,3700097835,Gain Sheets Original Scent,1,2,8,208.364,28,2.68,4.29,7.09,2.79
125,125,3700092510,GAIN ORG 240,1,2,5,216.546,28,0.6,4.29,7.09,4.88
126,126,3700098360,GAIN SHT MB 6/120 CT,1,2,10,224.728,28,0.8,4.29,7.09,2.42
